stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1001,,渋川,,36.49123,139.00879,1001,,0,,,
1002,,金島,,36.52958,138.97642,1002,,0,,,
1003,,祖母島,,36.54074,138.95706,1003,,0,,,
1004,,小野上,,36.55249,138.92224,1004,,0,,,
1005,,小野上温泉,,36.55690,138.90431,1005,,0,,,
1006,,市城,,36.57064,138.88228,1006,,0,,,
1007,,中之条,,36.58541,138.85148,1007,,0,,,
1008,,群馬原町,,36.57170,138.82416,1008,,0,,,
1009,,郷原,,36.54873,138.80110,1009,,0,,,
1010,,矢倉,,36.55276,138.78426,1010,,0,,,
1011,,岩島,,36.56324,138.75994,1011,,0,,,
1012,,川原湯温泉,,36.54509,138.69723,1012,,0,,,
1013,,長野原草津口,,36.54650,138.64964,1013,,0,,,
1014,,群馬大津,,36.55381,138.62809,1014,,0,,,
1015,,羽根尾,,36.55016,138.60550,1015,,0,,,
1016,,袋倉,,36.54402,138.57918,1016,,0,,,
1017,,万座・鹿沢口,,36.53202,138.55140,1017,,0,,,
1018,,大前,,36.51358,138.52902,1018,,0,,,
1101,JC01,東京,,35.68116,139.76713,1101,,0,,,
1102,JC02,神田,,35.69177,139.77088,1102,,0,,,
1103,JC03,御茶ノ水,,35.69960,139.76503,1103,,0,,,
1104,JC04,四ツ谷,,35.68565,139.73054,1104,,0,,,
1105,JC05,新宿,,35.69019,139.70062,1105,,0,,,
1106,JC06,中野,,35.70580,139.66572,1106,,0,,,
1107,JC07,高円寺,,35.70532,139.64970,1107,,0,,,
1108,JC08,阿佐ケ谷,,35.70488,139.63586,1108,,0,,,
1109,JC09,荻窪,,35.70443,139.62024,1109,,0,,,
1110,JC10,西荻窪,,35.70378,139.59945,1110,,0,,,
1111,JC11,吉祥寺,,35.70314,139.57981,1111,,0,,,
1112,JC12,三鷹,,35.70270,139.56064,1112,,0,,,
1113,JC13,武蔵境,,35.70209,139.54356,1113,,0,,,
1114,JC14,東小金井,,35.70156,139.52376,1114,,0,,,
1115,JC15,武蔵小金井,,35.70104,139.50593,1115,,0,,,
1116,JC16,国分寺,,35.70014,139.48086,1116,,0,,,
1117,JC17,西国分寺,,35.69973,139.46592,1117,,0,,,
1118,JC18,国立,,35.69920,139.44642,1118,,0,,,
1119,JC19,立川,,35.69790,139.41377,1119,,0,,,
1120,JC20,日野,,35.67854,139.39343,1120,,0,,,
1121,JC21,豊田,,35.65945,139.38146,1121,,0,,,
1122,JC22,八王子,,35.65550,139.33882,1122,,0,,,
1123,JC23,西八王子,,35.65628,139.31200,1123,,0,,,
1124,JC24,高尾,,35.64238,139.28264,1124,,0,,,
1201,JB39,千葉,,35.61360,140.11355,1201,,0,,,
1202,JB38,西千葉,,35.62263,140.10332,1202,,0,,,
1203,JB37,稲毛,,35.63731,140.09256,1203,,0,,,
1204,JB36,新検見川,,35.65180,140.07334,1204,,0,,,
1205,JB35,幕張,,35.65954,140.05782,1205,,0,,,
1206,JB34,幕張本郷,,35.67290,140.04208,1206,,0,,,
1207,JB33,津田沼,,35.69137,140.02022,1207,,0,,,
1208,JB32,東船橋,,35.69983,140.00407,1208,,0,,,
1209,JB31,船橋,,35.70174,139.98468,1209,,0,,,
1210,JB30,西船橋,,35.70771,139.95858,1210,,0,,,
1211,JB29,下総中山,,35.71428,139.94307,1211,,0,,,
1212,JB28,本八幡,,35.72085,139.92740,1212,,0,,,
1213,JB27,市川,,35.72887,139.90817,1213,,0,,,
1214,JB26,小岩,,35.73333,139.88185,1214,,0,,,
1215,JB25,新小岩,,35.71678,139.85765,1215,,0,,,
1216,JB24,平井,,35.70645,139.84238,1216,,0,,,
1217,JB23,亀戸,,35.69734,139.82661,1217,,0,,,
1218,JB22,錦糸町,,35.69672,139.81432,1218,,0,,,
1219,JB21,両国,,35.69576,139.79335,1219,,0,,,
1220,JB20,浅草橋,,35.69739,139.78449,1220,,0,,,
1221,JB19,秋葉原,,35.69832,139.77322,1221,,0,,,
1222,JB18,御茶ノ水,,35.69960,139.76503,1222,,0,,,
1223,JB17,水道橋,,35.70200,139.75374,1223,,0,,,
1224,JB16,飯田橋,,35.70016,139.74362,1224,,0,,,
1225,JB15,市ケ谷,,35.69116,139.73532,1225,,0,,,
1226,JB14,四ツ谷,,35.68565,139.73054,1226,,0,,,
1227,JB13,信濃町,,35.67996,139.72110,1227,,0,,,
1228,JB12,千駄ケ谷,,35.68120,139.71153,1228,,0,,,
1229,JB11,代々木,,35.68380,139.70221,1229,,0,,,
1230,JB10,新宿,,35.69019,139.70062,1230,,0,,,
1231,JB09,大久保,,35.70064,139.69744,1231,,0,,,
1232,JB08,東中野,,35.70625,139.68508,1232,,0,,,
1233,JB07,中野,,35.70580,139.66572,1233,,0,,,
1234,JB06,高円寺,,35.70532,139.64970,1234,,0,,,
1235,JB05,阿佐ケ谷,,35.70488,139.63586,1235,,0,,,
1236,JB04,荻窪,,35.70443,139.62024,1236,,0,,,
1237,JB03,西荻窪,,35.70378,139.59945,1237,,0,,,
1238,JB02,吉祥寺,,35.70314,139.57981,1238,,0,,,
1239,JB01,三鷹,,35.70270,139.56064,1239,,0,,,
1301,,八王子,,35.65550,139.33882,1301,,0,,,
1302,,北八王子,,35.66928,139.36340,1302,,0,,,
1303,,小宮,,35.68591,139.36843,1303,,0,,,
1304,,拝島,,35.72134,139.34373,1304,,0,,,
1305,,東福生,,35.74583,139.33590,1305,,0,,,
1306,,箱根ケ崎,,35.77170,139.34674,1306,,0,,,
1307,,金子,,35.81082,139.32861,1307,,0,,,
1308,,東飯能,,35.85302,139.32613,1308,,0,,,
1309,,高麗川,,35.89637,139.33813,1309,,0,,,
1310,,毛呂,,35.94074,139.30934,1310,,0,,,
1311,,越生,,35.96286,139.29925,1311,,0,,,
1312,,明覚,,36.00356,139.28922,1312,,0,,,
1313,,小川町,,36.05900,139.26069,1313,,0,,,
1314,,竹沢,,36.07550,139.22995,1314,,0,,,
1315,,折原,,36.09618,139.19532,1315,,0,,,
1316,,寄居,,36.11786,139.19352,1316,,0,,,
1317,,用土,,36.15385,139.20064,1317,,0,,,
1318,,松久,,36.17306,139.18210,1318,,0,,,
1319,,児玉,,36.19284,139.13572,1319,,0,,,
1320,,丹荘,,36.21646,139.10258,1320,,0,,,
1321,,群馬藤岡,,36.25032,139.08346,1321,,0,,,
1322,,北藤岡,,36.28212,139.08145,1322,,0,,,
1323,,倉賀野,,36.30030,139.04944,1323,,0,,,
1324,,高崎,,36.32227,139.01234,1324,,0,,,
1401,,熱海,,35.10356,139.07783,1401,,0,,,
1402,,来宮,,35.09872,139.06557,1402,,0,,,
1403,,伊豆多賀,,35.05944,139.06690,1403,,0,,,
1404,,網代,,35.04346,139.08100,1404,,0,,,
1405,,宇佐美,,35.00564,139.07978,1405,,0,,,
1406,,伊東,,34.97484,139.09210,1406,,0,,,
1501,JC55,拝島,,35.72120,139.34347,1501,,0,,,
1502,JC81,熊川,,35.72829,139.33573,1502,,0,,,
1503,JC82,東秋留,,35.72594,139.31168,1503,,0,,,
1504,JC83,秋川,,35.72805,139.28675,1504,,0,,,
1505,JC84,武蔵引田,,35.72969,139.27008,1505,,0,,,
1506,JC85,武蔵増戸,,35.73096,139.25630,1506,,0,,,
1507,JC86,武蔵五日市,,35.73214,139.22812,1507,,0,,,
1601,,取手,,35.89534,140.06285,1601,,0,,,
1602,,藤代,,35.92056,140.11815,1602,,0,,,
1603,,龍ケ崎市,,35.92994,140.13792,1603,,0,,,
1604,,牛久,,35.97518,140.14103,1604,,0,,,
1605,,ひたち野うしく,,36.00750,140.15830,1605,,0,,,
1606,,荒川沖,,36.03060,140.16598,1606,,0,,,
1607,,土浦,,36.07860,140.20624,1607,,0,,,
1608,,神立,,36.12043,140.24861,1608,,0,,,
1609,,高浜,,36.16350,140.29448,1609,,0,,,
1610,,石岡,,36.19150,140.27976,1610,,0,,,
1611,,羽鳥,,36.24754,140.28678,1611,,0,,,
1612,,岩間,,36.29542,140.27652,1612,,0,,,
