table_name,field_name,field_value,language,translation
agency,agency_name,JR東日本,ja,JR東日本
agency,agency_name,JR東日本,en,JR-East
routes,route_long_name,吾妻線,ja,吾妻線
routes,route_long_name,吾妻線,en,Agatsuma Line
routes,route_long_name,中央線快速,ja,中央線快速
routes,route_long_name,中央線快速,en,Chuo Rapid Line
routes,route_long_name,中央・総武各駅停車,ja,中央・総武各駅停車
routes,route_long_name,中央・総武各駅停車,en,Chuo-Sobu Local Line
routes,route_long_name,八高線,ja,八高線
routes,route_long_name,八高線,en,Hachiko Line
routes,route_long_name,伊東線,ja,伊東線
routes,route_long_name,伊東線,en,Ito Line
routes,route_long_name,五日市線,ja,五日市線
routes,route_long_name,五日市線,en,Itsukaichi Line
routes,route_long_name,常磐線,ja,常磐線
routes,route_long_name,常磐線,en,Joban Line
routes,route_long_name,常磐線各駅停車,ja,常磐線各駅停車
routes,route_long_name,常磐線各駅停車,en,Joban Local Line
routes,route_long_name,常磐線快速,ja,常磐線快速
routes,route_long_name,常磐線快速,en,Joban Rapid Line
routes,route_long_name,上越線,ja,上越線
routes,route_long_name,上越線,en,Joetsu Line
routes,route_long_name,鹿島線,ja,鹿島線
routes,route_long_name,鹿島線,en,Kashima Line
routes,route_long_name,川越線(川越-高麗川間),ja,川越線(川越-高麗川間)
routes,route_long_name,川越線(川越-高麗川間),en,Kawagoe Line
routes,route_long_name,京浜東北線・根岸線,ja,京浜東北線・根岸線
routes,route_long_name,京浜東北線・根岸線,en,Keihin-Tohoku-Negishi Line
routes,route_long_name,京葉線,ja,京葉線
routes,route_long_name,京葉線,en,Keiyo Line
routes,route_long_name,久留里線,ja,久留里線
routes,route_long_name,久留里線,en,Kururi Line
routes,route_long_name,武蔵野線,ja,武蔵野線
routes,route_long_name,武蔵野線,en,Musashino Line
routes,route_long_name,南武線,ja,南武線
routes,route_long_name,南武線,en,Nambu Line
routes,route_long_name,成田線,ja,成田線
routes,route_long_name,成田線,en,Narita Line
routes,route_long_name,青梅線,ja,青梅線
routes,route_long_name,青梅線,en,Ome Line
routes,route_long_name,相模線,ja,相模線
routes,route_long_name,相模線,en,Sagami Line
routes,route_long_name,埼京線・川越線,ja,埼京線・川越線
routes,route_long_name,埼京線・川越線,en,Saikyo-Kawagoe Line
routes,route_long_name,湘南新宿ライン,ja,湘南新宿ライン
routes,route_long_name,湘南新宿ライン,en,Shonan-Shinjuku Line
routes,route_long_name,総武本線,ja,総武本線
routes,route_long_name,総武本線,en,Sobu Line
routes,route_long_name,総武快速線,ja,総武快速線
routes,route_long_name,総武快速線,en,Sobu Rapid Line
routes,route_long_name,相鉄直通線,ja,相鉄直通線
routes,route_long_name,相鉄直通線,en,Sotetsu Direct Connection Line
routes,route_long_name,外房線,ja,外房線
routes,route_long_name,外房線,en,Sotobo Line
routes,route_long_name,高崎線,ja,高崎線
routes,route_long_name,高崎線,en,Takasaki Line
routes,route_long_name,東金線,ja,東金線
routes,route_long_name,東金線,en,Togane Line
routes,route_long_name,東海道線,ja,東海道線
routes,route_long_name,東海道線,en,Tokaido Line
routes,route_long_name,鶴見線,ja,鶴見線
routes,route_long_name,鶴見線,en,Tsurumi Line
routes,route_long_name,内房線,ja,内房線
routes,route_long_name,内房線,en,Uchibo Line
routes,route_long_name,宇都宮線,ja,宇都宮線
routes,route_long_name,宇都宮線,en,Utsunomiya Line
routes,route_long_name,山手線,ja,山手線
routes,route_long_name,山手線,en,Yamanote Line
routes,route_long_name,横浜線,ja,横浜線
routes,route_long_name,横浜線,en,Yokohama Line
routes,route_long_name,横須賀線,ja,横須賀線
routes,route_long_name,横須賀線,en,Yokosuka Line
stops,stop_name,渋川,ja,渋川
stops,stop_name,渋川,en,Shibukawa
stops,stop_name,金島,ja,金島
stops,stop_name,金島,en,Kanashima
stops,stop_name,祖母島,ja,祖母島
stops,stop_name,祖母島,en,Ubashima
stops,stop_name,小野上,ja,小野上
stops,stop_name,小野上,en,Onogami
stops,stop_name,小野上温泉,ja,小野上温泉
stops,stop_name,小野上温泉,en,Onogami-Onsen
stops,stop_name,市城,ja,市城
stops,stop_name,市城,en,Ichishiro
stops,stop_name,中之条,ja,中之条
stops,stop_name,中之条,en,Nakanojo
stops,stop_name,群馬原町,ja,群馬原町
stops,stop_name,群馬原町,en,Gumma-Haramachi
stops,stop_name,郷原,ja,郷原
stops,stop_name,郷原,en,Gobara
stops,stop_name,矢倉,ja,矢倉
stops,stop_name,矢倉,en,Yagura
stops,stop_name,岩島,ja,岩島
stops,stop_name,岩島,en,Iwashima
stops,stop_name,川原湯温泉,ja,川原湯温泉
stops,stop_name,川原湯温泉,en,Kawarayu-Onsen
stops,stop_name,長野原草津口,ja,長野原草津口
stops,stop_name,長野原草津口,en,Naganoharakusatsuguchi
stops,stop_name,群馬大津,ja,群馬大津
stops,stop_name,群馬大津,en,Gumma-Otsu
stops,stop_name,羽根尾,ja,羽根尾
stops,stop_name,羽根尾,en,Haneo
stops,stop_name,袋倉,ja,袋倉
stops,stop_name,袋倉,en,Fukurogura
stops,stop_name,万座・鹿沢口,ja,万座・鹿沢口
stops,stop_name,万座・鹿沢口,en,Manza-Kazawaguchi
stops,stop_name,大前,ja,大前
stops,stop_name,大前,en,Omae
stops,stop_name,東京,ja,東京
stops,stop_name,東京,en,Tokyo
stops,stop_name,神田,ja,神田
stops,stop_name,神田,en,Kanda
stops,stop_name,御茶ノ水,ja,御茶ノ水
stops,stop_name,御茶ノ水,en,Ochanomizu
