route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
10,0,1003001M,長野原草津口,,0,3603001M,,,
10,0,1003003M,長野原草津口,,0,3603003M,,,
10,0,1013002M,上野,,1,1013002M,,,
10,0,1013004M,上野,,1,1013004M,,,
10,1,1023001M,長野原草津口,,0,3623001M,,,
10,1,1023003M,長野原草津口,,0,3623003M,,,
10,1,1024031M,長野原草津口,,0,3624031M,,,
10,1,1033002M,上野,,1,1033002M,,,
10,1,1033004M,上野,,1,1033004M,,,
10,1,1034034M,上野,,1,1034034M,,,
11,0,1100415H,高尾,,0,,,,
11,0,1100439T,高尾,,0,,,,
11,0,1100453T,高尾,,0,,,,
11,0,1100457T,大月,,0,,,,
11,0,1100463T,高尾,,0,,,,
11,0,1100519H,高尾,,0,,,,
11,0,1100565T,高尾,,0,,,,
11,0,1100579T,高尾,,0,,,,
11,0,1100581T,大月,,0,,,,
11,0,1100587T,高尾,,0,,,,
11,0,1100593T,青梅,,0,1100593T,,,
11,0,1100597T,高尾,,0,,,,
11,0,1100605H,青梅,,0,1100605H,,,
11,0,1100611H,高尾,,0,,,,
11,0,1100615H,高尾,,0,,,,
11,0,1100623H,高尾,,0,,,,
11,0,1100623T,高尾,,0,,,,
11,0,1100625H,青梅,,0,1100625H,,,
11,0,1100635T,高尾,,0,,,,
11,0,1100637T,高尾,,0,,,,
11,0,1100655T,高尾,,0,,,,
11,0,1100659T,青梅,,0,1100659T,,,
11,0,1100661T,高尾,,0,,,,
11,0,1100675T,青梅,,0,1100675T,,,
11,0,1100677T,青梅,,0,1100677T,,,
11,0,1100689T,青梅,,0,1100689T,,,
11,0,1100695T,高尾,,0,,,,
11,0,1100703H,青梅,,0,1100703H,,,
11,0,1100713H,高尾,,0,,,,
11,0,1100719H,高尾,,0,,,,
11,0,1100723T,高尾,,0,,,,
11,0,1100729T,青梅,,0,1100729T,,,
11,0,1100733T,高尾,,0,,,,
11,0,1100739T,高尾,,0,,,,
11,0,1100741T,武蔵小金井,,0,,,,
11,0,1100743T,武蔵小金井,,0,,,,
11,0,1100745T,高尾,,0,,,,
11,0,1100747T,八王子,,0,,,,
11,0,1100753T,八王子,,0,,,,
11,0,1100757T,青梅,,0,1100757T,,,
11,0,1100763T,高尾,,0,,,,
11,0,1100769T,高尾,,0,,,,
11,0,1100771T,高尾,,0,,,,
11,0,1100787T,武蔵小金井,,0,,,,
11,0,1100799T,高尾,,0,,,,
11,0,1100801H,豊田,,0,,,,
11,0,1100807H,高尾,,0,,,,
11,0,1100809H,青梅,,0,1100809H,,,
11,0,1100817H,武蔵小金井,,0,,,,
11,0,1100821T,豊田,,0,,,,
11,0,1100825T,高尾,,0,,,,
11,0,1100827H,武蔵小金井,,0,,,,
11,0,1100827T,武蔵小金井,,0,,,,
11,0,1100829H,高尾,,0,,,,
11,0,1100831T,高尾,,0,,,,
11,0,1100835T,武蔵小金井,,0,,,,
11,0,1100849T,豊田,,0,,,,
11,0,1100851T,青梅,,0,1100851T,,,
11,0,1100855T,高尾,,0,,,,
11,0,1100861T,武蔵小金井,,0,,,,
11,0,1100865T,武蔵小金井,,0,,,,
11,0,1100873T,豊田,,0,,,,
11,0,1100875T,豊田,,0,,,,
11,0,1100879T,豊田,,0,,,,
11,0,1100881T,武蔵小金井,,0,,,,
11,0,1100885T,大月,,0,,,,
11,0,1100889T,高尾,,0,,,,
11,0,1100891T,立川,,0,,,,
11,0,1100893T,青梅,,0,1100893T,,,
11,0,1100895T,高尾,,0,,,,
11,0,1100897T,豊田,,0,,,,
11,0,1100911H,高尾,,0,,,,
11,0,1100913H,青梅,,0,1100913H,,,
11,0,1100915H,高尾,,0,,,,
11,0,1100921H,豊田,,0,,,,
11,0,1100923H,豊田,,0,,,,
11,0,1100925H,武蔵小金井,,0,,,,
11,0,1100937T,青梅,,0,1100937T,,,
11,0,1100941T,武蔵小金井,,0,,,,
11,0,1100943T,青梅,,0,1100943T,,,
11,0,1100947T,豊田,,0,,,,
11,0,1100953T,高尾,,0,,,,
11,0,1100959T,武蔵小金井,,0,,,,
11,0,1100963T,豊田,,0,,,,
11,0,1100967T,高尾,,0,,,,
11,0,1100969T,高尾,,0,,,,
11,0,1100977T,青梅,,0,1100977T,,,
11,0,1100981T,豊田,,0,,,,
11,0,1100983T,高尾,,0,,,,
11,0,1100987T,豊田,,0,,,,
11,0,1100999T,武蔵小金井,,0,,,,
11,0,1101003H,大月,,0,,,,
11,0,1101005H,高尾,,0,,,,
11,0,1101019H,青梅,,0,1101019H,,,
11,0,1101023T,高尾,,0,,,,
11,0,1101029H,青梅,,0,1101029H,,,
11,0,1101029T,高尾,,0,,,,
11,0,1101031T,高尾,,0,,,,
11,0,1101033T,立川,,0,,,,
11,0,1101039T,青梅,,0,1101039T,,,
11,0,1101045T,高尾,,0,,,,
11,0,1101057T,豊田,,0,,,,
11,0,1101071T,高尾,,0,,,,
11,0,1101091T,立川,,0,,,,
11,0,1101097T,高尾,,0,,,,
11,0,1101107H,豊田,,0,,,,
11,0,1101109H,高尾,,0,,,,
11,0,1101115H,青梅,,0,1101115H,,,
11,0,1101125T,大月,,0,,,,
11,0,1101143T,高尾,,0,,,,
11,0,1101151T,豊田,,0,,,,
11,0,1101155T,青梅,,0,1101155T,,,
11,0,1101167T,大月,,0,,,,
11,0,1101175T,高尾,,0,,,,
11,0,1101183T,八王子,,0,,,,
11,0,1101189T,青梅,,0,1101189T,,,
11,0,1101193T,青梅,,0,1101193T,,,
11,0,1101195T,高尾,,0,,,,
11,0,1101205H,豊田,,0,,,,
11,0,1101211H,高尾,,0,,,,
11,0,1101213H,青梅,,0,1101213H,,,
11,0,1101223T,高尾,,0,,,,
11,0,1101233T,高尾,,0,,,,
11,0,1101237T,高尾,,0,,,,
11,0,1101245T,高尾,,0,,,,
11,0,1101253T,高尾,,0,,,,
11,0,1101269T,豊田,,0,,,,
11,0,1101271T,大月,,0,,,,
11,0,1101281T,青梅,,0,1101281T,,,
11,0,1101285T,青梅,,0,1101285T,,,
11,0,1101291T,青梅,,0,1101291T,,,
11,0,1101303H,青梅,,0,1101303H,,,
11,0,1101307H,高尾,,0,,,,
11,0,1101309H,高尾,,0,,,,
11,0,1101319H,高尾,,0,,,,
