table_name,field_name,field_value,language,translation
agency,agency_name,東京都交通局,ja,東京都交通局
agency,agency_name,東京都交通局,en,Tokyo Metropolitan Bureau of Transportation
routes,route_long_name,東京さくらトラム（都電荒川線）,ja,東京さくらトラム（都電荒川線）
routes,route_long_name,東京さくらトラム（都電荒川線）,en,Tokyo Sakura Tram (Arakawa Line)
routes,route_long_name,浅草線,ja,浅草線
routes,route_long_name,浅草線,en,Asakusa Line
routes,route_long_name,三田線,ja,三田線
routes,route_long_name,三田線,en,Mita Line
routes,route_long_name,日暮里・舎人ライナー,ja,日暮里・舎人ライナー
routes,route_long_name,日暮里・舎人ライナー,en,Nippori-Toneri Liner
routes,route_long_name,大江戸線,ja,大江戸線
routes,route_long_name,大江戸線,en,Oedo Line
routes,route_long_name,新宿線,ja,新宿線
routes,route_long_name,新宿線,en,Shinjuku Line
stops,stop_name,三ノ輪橋,ja,三ノ輪橋
stops,stop_name,三ノ輪橋,en,Minowabashi
stops,stop_name,荒川一中前,ja,荒川一中前
stops,stop_name,荒川一中前,en,Arakawa-itchumae
stops,stop_name,荒川区役所前,ja,荒川区役所前
stops,stop_name,荒川区役所前,en,Arakawakuyakushomae
stops,stop_name,荒川二丁目,ja,荒川二丁目
stops,stop_name,荒川二丁目,en,Arakawa-nichome
stops,stop_name,荒川七丁目,ja,荒川七丁目
stops,stop_name,荒川七丁目,en,Arakawa-nanachome
stops,stop_name,町屋駅前,ja,町屋駅前
stops,stop_name,町屋駅前,en,Machiya-ekimae
stops,stop_name,町屋二丁目,ja,町屋二丁目
stops,stop_name,町屋二丁目,en,Machiya-nichome
stops,stop_name,東尾久三丁目,ja,東尾久三丁目
stops,stop_name,東尾久三丁目,en,Higashi-ogu-sanchome
stops,stop_name,熊野前,ja,熊野前
stops,stop_name,熊野前,en,Kumanomae
stops,stop_name,宮ノ前,ja,宮ノ前
stops,stop_name,宮ノ前,en,Miyanomae
stops,stop_name,小台,ja,小台
stops,stop_name,小台,en,Odai
stops,stop_name,荒川遊園地前,ja,荒川遊園地前
stops,stop_name,荒川遊園地前,en,Arakawa-Yuenchimae
stops,stop_name,荒川車庫前,ja,荒川車庫前
stops,stop_name,荒川車庫前,en,Arakawa-shakomae
stops,stop_name,梶原,ja,梶原
stops,stop_name,梶原,en,Kajiwara
stops,stop_name,栄町,ja,栄町
stops,stop_name,栄町,en,Sakaecho
stops,stop_name,王子駅前,ja,王子駅前
stops,stop_name,王子駅前,en,Oji-ekimae
stops,stop_name,飛鳥山,ja,飛鳥山
stops,stop_name,飛鳥山,en,Asukayama
stops,stop_name,滝野川一丁目,ja,滝野川一丁目
stops,stop_name,滝野川一丁目,en,Takinogawa-itchome
stops,stop_name,西ヶ原四丁目,ja,西ヶ原四丁目
stops,stop_name,西ヶ原四丁目,en,Nishigahara-yonchome
stops,stop_name,新庚申塚,ja,新庚申塚
stops,stop_name,新庚申塚,en,Shin-koshinzuka
stops,stop_name,庚申塚,ja,庚申塚
stops,stop_name,庚申塚,en,Koshinzuka
stops,stop_name,巣鴨新田,ja,巣鴨新田
stops,stop_name,巣鴨新田,en,Sugamoshinden
stops,stop_name,大塚駅前,ja,大塚駅前
stops,stop_name,大塚駅前,en,Otsuka-ekimae
stops,stop_name,向原,ja,向原
stops,stop_name,向原,en,Mukohara
stops,stop_name,東池袋四丁目,ja,東池袋四丁目
stops,stop_name,東池袋四丁目,en,Higashi-ikebukuro-yonchome
stops,stop_name,都電雑司ヶ谷,ja,都電雑司ヶ谷
stops,stop_name,都電雑司ヶ谷,en,Toden-zoshigaya
stops,stop_name,鬼子母神前,ja,鬼子母神前
stops,stop_name,鬼子母神前,en,Kishibojimmae
stops,stop_name,学習院下,ja,学習院下
stops,stop_name,学習院下,en,Gakushuinshita
stops,stop_name,面影橋,ja,面影橋
stops,stop_name,面影橋,en,Omokagebashi
stops,stop_name,早稲田,ja,早稲田
stops,stop_name,早稲田,en,Waseda
stops,stop_name,西馬込,ja,西馬込
stops,stop_name,西馬込,en,Nishi-magome
stops,stop_name,馬込,ja,馬込
stops,stop_name,馬込,en,Magome
stops,stop_name,中延,ja,中延
stops,stop_name,中延,en,Nakanobu
stops,stop_name,戸越,ja,戸越
stops,stop_name,戸越,en,Togoshi
stops,stop_name,五反田,ja,五反田
stops,stop_name,五反田,en,Gotanda
stops,stop_name,高輪台,ja,高輪台
stops,stop_name,高輪台,en,Takanawadai
stops,stop_name,泉岳寺,ja,泉岳寺
stops,stop_name,泉岳寺,en,Sengakuji
stops,stop_name,三田,ja,三田
stops,stop_name,三田,en,Mita
stops,stop_name,大門,ja,大門
stops,stop_name,大門,en,Daimon
stops,stop_name,新橋,ja,新橋
stops,stop_name,新橋,en,Shimbashi
stops,stop_name,東銀座,ja,東銀座
stops,stop_name,東銀座,en,Higashi-ginza
stops,stop_name,宝町,ja,宝町
stops,stop_name,宝町,en,Takaracho
stops,stop_name,日本橋,ja,日本橋
stops,stop_name,日本橋,en,Nihombashi
stops,stop_name,人形町,ja,人形町
stops,stop_name,人形町,en,Ningyocho
stops,stop_name,東日本橋,ja,東日本橋
stops,stop_name,東日本橋,en,Higashi-nihombashi
stops,stop_name,浅草橋,ja,浅草橋
stops,stop_name,浅草橋,en,Asakusabashi
stops,stop_name,蔵前,ja,蔵前
stops,stop_name,蔵前,en,Kuramae
stops,stop_name,浅草,ja,浅草
stops,stop_name,浅草,en,Asakusa
stops,stop_name,本所吾妻橋,ja,本所吾妻橋
stops,stop_name,本所吾妻橋,en,Honjo-azumabashi
stops,stop_name,押上,ja,押上
stops,stop_name,押上,en,Oshiage
stops,stop_name,目黒,ja,目黒
stops,stop_name,目黒,en,Meguro
stops,stop_name,白金台,ja,白金台
stops,stop_name,白金台,en,Shirokanedai
stops,stop_name,白金高輪,ja,白金高輪
stops,stop_name,白金高輪,en,Shirokane-takanawa
stops,stop_name,芝公園,ja,芝公園
stops,stop_name,芝公園,en,Shibakoen
stops,stop_name,御成門,ja,御成門
stops,stop_name,御成門,en,Onarimon
stops,stop_name,内幸町,ja,内幸町
stops,stop_name,内幸町,en,Uchisaiwaicho
stops,stop_name,日比谷,ja,日比谷
stops,stop_name,日比谷,en,Hibiya
stops,stop_name,大手町,ja,大手町
stops,stop_name,大手町,en,Otemachi
stops,stop_name,神保町,ja,神保町
stops,stop_name,神保町,en,Jimbocho
stops,stop_name,水道橋,ja,水道橋
stops,stop_name,水道橋,en,Suidobashi
stops,stop_name,春日,ja,春日
stops,stop_name,春日,en,Kasuga
stops,stop_name,白山,ja,白山
stops,stop_name,白山,en,Hakusan
stops,stop_name,千石,ja,千石
stops,stop_name,千石,en,Sengoku
stops,stop_name,巣鴨,ja,巣鴨
stops,stop_name,巣鴨,en,Sugamo
stops,stop_name,西巣鴨,ja,西巣鴨
stops,stop_name,西巣鴨,en,Nishi-sugamo
stops,stop_name,新板橋,ja,新板橋
stops,stop_name,新板橋,en,Shin-itabashi
stops,stop_name,板橋区役所前,ja,板橋区役所前
stops,stop_name,板橋区役所前,en,Itabashi-kuyakushomae
stops,stop_name,板橋本町,ja,板橋本町
stops,stop_name,板橋本町,en,Itabashihoncho
stops,stop_name,本蓮沼,ja,本蓮沼
stops,stop_name,本蓮沼,en,Motohasunuma
stops,stop_name,志村坂上,ja,志村坂上
stops,stop_name,志村坂上,en,Shimura-sakaue
stops,stop_name,志村三丁目,ja,志村三丁目
stops,stop_name,志村三丁目,en,Shimura-sanchome
stops,stop_name,蓮根,ja,蓮根
stops,stop_name,蓮根,en,Hasune
stops,stop_name,西台,ja,西台
stops,stop_name,西台,en,Nishidai
stops,stop_name,高島平,ja,高島平
stops,stop_name,高島平,en,Takashimadaira
stops,stop_name,新高島平,ja,新高島平
stops,stop_name,新高島平,en,Shin-takashimadaira
stops,stop_name,西高島平,ja,西高島平
stops,stop_name,西高島平,en,Nishi-takashimadaira
stops,stop_name,日暮里,ja,日暮里
stops,stop_name,日暮里,en,Nippori
stops,stop_name,西日暮里,ja,西日暮里
stops,stop_name,西日暮里,en,Nishi-nippori
stops,stop_name,赤土小学校前,ja,赤土小学校前
