route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,0,100403T0,成田空港,,0,,,,
1,0,100501K0,成田空港,,0,,,,
1,0,100501T0,印旛日本医大,,0,,,,
1,0,100505K0,成田空港,,0,,,,
1,0,100505T0,青砥,,0,,,,
1,0,100509TB,京成高砂,,0,,,,
1,0,100511T0,京成高砂,,0,,,,
1,0,100513T0,泉岳寺,,0,,,,
1,0,100515T0,泉岳寺,,0,,,,
1,0,100517T0,印旛日本医大,,0,,,,
1,0,100519T0,泉岳寺,,0,,,,
1,0,100521T0,印旛日本医大,,0,,,,
1,0,100523H0,青砥,,0,,,,
1,0,100525H0,青砥,,0,,,,
1,0,100543T0,印旛日本医大,,0,,,,
1,0,100553H0,青砥,,0,,,,
1,0,100555H0,青砥,,0,,,,
1,0,100557H0,青砥,,0,,,,
1,0,100577H0,泉岳寺,,0,,,,
1,0,100605T0,印旛日本医大,,0,,,,
1,0,100607K0,成田空港,,0,,,,
1,0,100611K0,成田空港,,0,,,,
1,0,100613TA,泉岳寺,,0,,,,
1,0,100613TB,押上,,0,,,,
1,0,100619T0,泉岳寺,,0,,,,
1,0,100621N0,印西牧の原,,0,,,,
1,0,100623T0,印西牧の原,,0,,,,
1,0,100625T0,泉岳寺,,0,,,,
1,0,100627N0,印旛日本医大,,0,,,,
1,0,100641H0,印旛日本医大,,0,,,,
1,0,100659H0,青砥,,0,,,,
1,0,100661H0,青砥,,0,,,,
1,0,100663H0,青砥,,0,,,,
1,0,100665H0,青砥,,0,,,,
1,0,100667H0,青砥,,0,,,,
1,0,100669H0,青砥,,0,,,,
1,0,100671H0,青砥,,0,,,,
1,0,100673H0,京成高砂,,0,,,,
1,0,100679K0,印旛日本医大,,0,,,,
1,0,100683H0,泉岳寺,,0,,,,
1,0,100709K0,京成高砂,,0,,,,
1,0,100711TA,京成高砂,,0,,,,
1,0,100715T0,印旛日本医大,,0,,,,
1,0,100719T0,成田空港,,0,,,,
1,0,100723N0,印旛日本医大,,0,,,,
1,0,100725N0,印旛日本医大,,0,,,,
