table_name,field_name,field_value,language,translation
agency,agency_name,東京メトロ,ja,東京メトロ
agency,agency_name,東京メトロ,en,Tokyo Metro
routes,route_long_name,千代田線,ja,千代田線
routes,route_long_name,千代田線,en,Chiyoda Line
routes,route_long_name,副都心線,ja,副都心線
routes,route_long_name,副都心線,en,Fukutoshin Line
routes,route_long_name,銀座線,ja,銀座線
routes,route_long_name,銀座線,en,Ginza Line
routes,route_long_name,半蔵門線,ja,半蔵門線
routes,route_long_name,半蔵門線,en,Hanzomon Line
routes,route_long_name,日比谷線,ja,日比谷線
routes,route_long_name,日比谷線,en,Hibiya Line
routes,route_long_name,丸ノ内線,ja,丸ノ内線
routes,route_long_name,丸ノ内線,en,Marunouchi Line
routes,route_long_name,南北線,ja,南北線
routes,route_long_name,南北線,en,Namboku Line
routes,route_long_name,東西線,ja,東西線
routes,route_long_name,東西線,en,Tozai Line
routes,route_long_name,有楽町線,ja,有楽町線
routes,route_long_name,有楽町線,en,Yurakucho Line
stops,stop_name,代々木上原,ja,代々木上原
stops,stop_name,代々木上原,en,Yoyogi-uehara
stops,stop_name,代々木公園,ja,代々木公園
stops,stop_name,代々木公園,en,Yoyogi-koen
stops,stop_name,明治神宮前〈原宿〉,ja,明治神宮前〈原宿〉
stops,stop_name,明治神宮前〈原宿〉,en,Meiji-jingumae<Harajuku>
stops,stop_name,表参道,ja,表参道
stops,stop_name,表参道,en,Omote-sando
stops,stop_name,乃木坂,ja,乃木坂
stops,stop_name,乃木坂,en,Nogizaka
stops,stop_name,赤坂,ja,赤坂
stops,stop_name,赤坂,en,Akasaka
stops,stop_name,国会議事堂前,ja,国会議事堂前
stops,stop_name,国会議事堂前,en,Kokkai-gijidomae
stops,stop_name,霞ケ関,ja,霞ケ関
stops,stop_name,霞ケ関,en,Kasumigaseki
stops,stop_name,日比谷,ja,日比谷
stops,stop_name,日比谷,en,Hibiya
stops,stop_name,二重橋前〈丸の内〉,ja,二重橋前〈丸の内〉
stops,stop_name,二重橋前〈丸の内〉,en,Nijubashimae<Marunouchi>
